Index,C,N,H,Li,O
4,22,2,44,2,1.0
41,31,3,62,3,1.0
109,27,3,54,3,
11,34,2,68,2,4.0
60,43,3,86,3,4.0
17,30,2,60,2,3.0
13,38,2,76,2,5.0
69,47,3,94,3,5.0
68,47,3,94,3,5.0
2,21,1,42,1,3.0
16,26,2,52,2,2.0
71,51,3,102,3,6.0
10,30,2,60,2,3.0
105,9,1,18,1,
3,22,2,44,2,1.0
70,51,3,102,3,6.0
12,34,2,68,2,4.0
106,27,3,54,3,
6,26,2,52,2,2.0
0,13,1,26,1,1.0
1,17,1,34,1,2.0
107,27,3,54,3,
9,30,2,60,2,3.0
30,43,3,86,3,4.0
33,47,3,94,3,5.0
55,39,3,78,3,3.0
43,35,3,70,3,2.0
14,22,2,44,2,1.0
79,35,3,70,3,2.0
18,34,2,68,2,4.0
74,31,3,62,3,1.0
19,18,2,36,2,
7,26,2,52,2,2.0
39,31,3,62,3,1.0
54,39,3,78,3,3.0
