Index,Na,C,N,H,Mg,O
831,2,18,4,28,1.0,
3,2,13,2,24,,1.0
344,1,17,2,33,1.0,1.0
597,1,17,2,33,1.0,1.0
256,2,17,2,34,,2.0
1000,1,30,4,57,2.0,2.0
169,1,22,4,37,2.0,
539,2,17,2,34,,2.0
2050,2,25,2,52,1.0,2.0
1851,2,25,2,52,1.0,2.0
1001,1,30,4,57,2.0,2.0
191,1,22,4,37,2.0,
257,2,17,2,34,,2.0
607,1,26,4,47,2.0,1.0
282,2,26,4,48,1.0,2.0
2,2,13,2,24,,1.0
830,2,18,4,28,1.0,
871,2,26,4,46,2.0,
1867,2,34,4,66,2.0,2.0
261,2,26,4,48,1.0,2.0
1196,2,30,4,56,2.0,1.0
1211,2,30,4,56,2.0,1.0
102,2,9,2,14,,
155,1,13,2,23,1.0,
2275,2,34,4,66,2.0,2.0
828,2,18,4,28,1.0,
30,2,22,4,38,1.0,1.0
174,1,22,4,37,2.0,
1071,1,21,2,43,1.0,2.0
1163,2,22,4,38,1.0,1.0
159,1,22,4,37,2.0,
821,2,17,2,32,1.0,
1160,2,21,2,42,1.0,1.0
2276,2,34,4,66,2.0,2.0
1159,2,21,2,42,1.0,1.0
359,1,26,4,47,2.0,1.0
1508,2,21,2,42,1.0,1.0
1158,2,21,2,42,1.0,1.0
348,1,17,2,33,1.0,1.0
255,2,17,2,34,,2.0
158,1,13,2,23,1.0,
363,1,26,4,47,2.0,1.0
549,2,26,4,48,1.0,2.0
2257,2,25,2,52,1.0,2.0
154,1,13,2,23,1.0,
1206,2,30,4,56,2.0,1.0
1197,2,30,4,56,2.0,1.0
4,2,13,2,24,,1.0
839,2,18,4,28,1.0,
1507,2,21,2,42,1.0,1.0
1004,1,30,4,57,2.0,2.0
24,2,22,4,38,1.0,1.0
985,1,21,2,43,1.0,2.0
157,1,13,2,23,1.0,
550,2,26,4,48,1.0,2.0
2258,2,25,2,52,1.0,2.0
1198,2,30,4,56,2.0,1.0
13,2,22,4,38,1.0,1.0
1072,1,21,2,43,1.0,2.0
859,2,26,4,46,2.0,
822,2,17,2,32,1.0,
176,1,22,4,37,2.0,
160,1,22,4,37,2.0,
279,2,26,4,48,1.0,2.0
101,2,9,2,14,,
156,1,13,2,23,1.0,
984,1,21,2,43,1.0,2.0
998,1,30,4,57,2.0,2.0
2260,2,34,4,66,2.0,2.0
608,1,26,4,47,2.0,1.0
825,2,18,4,28,1.0,
366,1,26,4,47,2.0,1.0
258,2,17,2,34,,2.0
14,2,22,4,38,1.0,1.0
2268,2,34,4,66,2.0,2.0
983,1,21,2,43,1.0,2.0
346,1,17,2,33,1.0,1.0
278,2,26,4,48,1.0,2.0
540,2,17,2,34,,2.0
1891,2,34,4,66,2.0,2.0
1,2,13,2,24,,1.0
0,2,13,2,24,,1.0
541,2,17,2,34,,2.0
860,2,26,4,46,2.0,
347,1,17,2,33,1.0,1.0
23,2,22,4,38,1.0,1.0
594,1,17,2,33,1.0,1.0
890,2,26,4,46,2.0,
1003,1,30,4,57,2.0,2.0
1853,2,25,2,52,1.0,2.0
351,1,26,4,47,2.0,1.0
849,2,26,4,46,2.0,
15,2,22,4,38,1.0,1.0
824,2,18,4,28,1.0,
2048,2,25,2,52,1.0,2.0
170,1,22,4,37,2.0,
982,1,21,2,43,1.0,2.0
